,Year,Industry,GO_nom,CAP_nom,LAB_nom,INT_nom,GO_const,CAP_const,LAB_const,INT_const
0,1947,1,31299.23,9744.228,10039.002,11516.0,85254.688,38868.289,192173.703,73773.227
1,1948,1,35560.695,11602.553,11443.142,12515.0,92947.477,41055.512,188740.359,73414.672
2,1949,1,29746.566,6988.223,11310.343,11448.0,90231.445,41447.719,184672.766,72727.273
3,1950,1,31972.906,9193.447,10284.459,12495.0,95331.547,43091.527,176766.734,77015.523
4,1951,1,37255.438,11954.302,10551.134,14750.0,94535.391,48023.414,168485.719,81999.109
5,1952,1,36552.852,10962.075,10638.774,14952.0,97628.57,46201.398,161760.75,82339.336
6,1953,1,32942.012,9483.905,9915.105,13543.0,99401.922,47600.242,152090.766,80445.5
7,1954,1,32856.953,9189.145,9695.807,13972.0,102978.117,48516.703,147241.703,83330.352
8,1955,1,32243.15,8090.13,9811.021,14342.0,106344.734,51026.109,148573.125,87169.516
9,1956,1,32119.197,8890.693,8702.504,14526.0,108073.984,50798.195,140816.0,89672.211
10,1957,1,32380.488,7613.656,9873.831,14893.0,107084.008,50237.391,131106.734,92319.609
11,1958,1,36420.039,9376.321,10391.719,16652.0,110778.891,48905.098,124886.508,95618.719
12,1959,1,35615.336,6905.957,10980.38,17729.0,115067.445,49811.422,124382.117,103982.406
13,1960,1,36333.121,7552.065,11235.055,17546.0,118111.172,49805.164,121524.477,103754.953
14,1961,1,37642.613,7842.09,11401.522,18399.0,120035.703,50108.453,117689.266,108000.703
15,1962,1,39075.609,7338.236,12035.375,19702.0,122036.586,51007.438,115056.297,114207.875
16,1963,1,40076.574,7498.891,11862.685,20715.0,126843.328,52938.488,112528.516,118942.352
17,1964,1,38507.348,6786.688,11400.658,20320.0,124538.813,53518.766,106715.695,118594.602
18,1965,1,42646.527,8534.099,12465.43,21647.0,130910.945,53081.547,102834.547,123570.039
19,1966,1,45901.148,9312.11,12786.037,23803.0,130903.531,54612.691,97740.852,128825.031
20,1967,1,45774.57,8863.728,12333.843,24577.0,138642.828,56465.234,92313.445,133454.594
21,1968,1,46642.422,9290.891,12330.53,25021.0,137982.922,57743.887,87748.063,136406.25
22,1969,1,50711.598,10686.635,13351.962,26673.0,142607.875,58398.98,85715.969,140362.047
23,1970,1,53048.57,11487.066,13464.506,28097.0,146407.984,58551.113,83129.414,144065.016
24,1971,1,56533.016,13609.385,12856.63,30067.0,152963.0,58694.871,82042.563,147996.656
25,1972,1,64907.113,16785.879,14397.233,33724.0,156297.234,58319.219,81641.289,155252.734
26,1973,1,93302.891,29549.818,19214.072,44539.0,160130.719,58606.77,82227.875,162290.484
27,1974,1,92774.906,29184.877,15846.025,47744.0,152687.344,61564.887,76337.258,147262.563
28,1975,1,95316.219,29347.242,17208.979,48760.0,162303.906,63039.961,76694.898,141271.906
29,1976,1,96948.625,24506.918,19339.707,53102.0,165271.797,64508.488,76179.227,152202.703
30,1977,1,100456.609,27325.527,17174.082,55957.0,172310.031,65611.625,73611.43,157812.047
31,1978,1,118779.898,34055.414,17859.486,66865.0,180301.734,66526.977,70343.336,176034.641
32,1979,1,141362.953,42537.324,18467.635,80358.0,192010.828,68672.836,68080.289,182822.953
33,1980,1,138361.188,36380.465,15554.719,86426.0,184200.391,69233.672,67062.172,173727.578
34,1981,1,153625.953,47983.465,17987.492,87655.0,197662.047,69796.984,67312.141,163161.031
35,1982,1,148031.219,40728.508,20737.713,86565.0,200546.531,70838.797,66882.195,161858.203
36,1983,1,132057.688,28719.781,18248.908,85089.0,166910.109,68184.563,66287.563,161624.813
37,1984,1,158069.328,43111.621,24230.711,90727.0,192772.063,66120.602,64734.086,169080.688
38,1985,1,150524.031,41645.895,24913.137,83965.0,206896.359,65569.281,60401.773,163045.156
39,1986,1,143599.875,38463.887,25839.984,79296.0,199541.766,64736.426,55649.355,162618.438
40,1987,1,152234.781,43590.848,23631.93,85012.0,206158.734,62915.43,55646.258,172676.313
41,1988,1,157240.625,41426.184,23519.445,92295.0,200499.703,60777.832,58221.605,174342.172
42,1989,1,175985.141,46733.563,31272.578,97979.0,213364.844,59518.301,58134.012,175882.734
43,1990,1,183373.469,44406.633,36860.844,102106.0,224027.313,59258.906,57587.242,179814.75
44,1991,1,178388.344,34499.598,38994.738,104894.0,226911.219,59160.969,58123.855,183892.281
45,1992,1,187254.125,40733.609,43801.508,102719.0,237147.016,57713.145,56337.527,180417.672
46,1993,1,185856.906,37912.266,37060.648,110884.0,231922.219,58731.746,54392.203,189490.25
47,1994,1,200157.297,50419.074,35836.227,113902.0,256719.953,59121.035,54703.594,192272.109
48,1995,1,193266.484,38690.258,31082.223,123494.0,247646.172,60822.5,57208.453,207835.875
49,1996,1,219016.938,50530.809,45312.125,123174.0,250763.078,60546.676,56095.168,195238.469
50,1997,1,221821.016,48275.5,42301.512,131244.0,269191.344,62005.754,56443.219,202518.281
51,1998,1,211651.391,43280.137,39579.25,128792.0,267095.875,63264.957,55174.125,211158.672
52,1999,1,206392.156,39796.18,37580.977,129015.0,265175.094,63535.355,57130.102,213381.938
53,2000,1,211579.625,44547.309,38760.316,128272.0,268147.219,63276.918,55593.98,197596.891
