country,var,code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
AT,I_IT,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,894.1,878.5,989.7,1075.7,1464.8,1312.8,1665.5,1598.8,1660,1424.6,1361.5,1167.5,1115.6,931,1083.5,1329.9,1177,1246,1319.5,1292.7,1401.3
AT,I_IT,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,709.6,707,811.7,893.8,1266.5,1145.6,1493,1425.4,1487.5,1247.1,1162.1,967.8,901,725.2,892.1,1073.7,967.3,1043.5,1111.3,1071,1169
AT,I_IT,A,,,,,,,,,,,,,,,,,,,,,,,,,,7,7.9,8.4,8.2,8.5,9,9.3,8.8,9.2,9.2,10.1,10.1,10.6,12.4,12.3,12.6,15,16.7,16.7,14.8,14.6
AT,I_IT,B,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1,1,1,1.9,1.6,2.7,1.2,1.9,1.8,2.1,1.3,1.6,0.8,0.8,0.8,1.5,1,1,0.9,1
AT,I_IT,C,,,,,,,,,,,,,,,,,,,,,,,,,,130.8,133.2,152.2,163,220.1,224.7,330.3,292,316.5,241.5,228,221.8,205.2,125.8,138.6,199.9,157.3,170,188.1,152.3,172.7
AT,I_IT,10-12,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,13.3,14.1,15.2,19.7,19.3,23.7,27,30.4,27.7,21.8,18.7,17.9,11.1,18.6,23.2,12.1,17.7,19.4,20.1,23.4
AT,I_IT,13-15,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.7,7.4,8.7,9.4,9.6,13.8,11.6,8.4,7,5.5,4.8,3.9,2.6,3.3,4,3.1,3.8,4,3,3.4
AT,I_IT,16-18,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,14.3,15.5,16,24.8,21.8,35.1,31.2,34.4,20.9,18,21.2,18.6,8.3,9.3,25.1,15.5,18.2,16.5,15.2,17.2
AT,I_IT,19,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0
AT,I_IT,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.6,5.6,5.6,9.3,9.3,11.6,9.2,14.1,11.5,7.8,7.9,11.6,8.3,13.8,8.4,9.1,8.4,12.3,7.7,8.6
