"Wage","Education","Experience"
354.94,7,45
370.37,9,9
754.94,11,46
593.54,12,36
377.23,16,22
284.9,8,51
561.13,12,34
264.06,12,0
1643.83,14,18
474.83,12,17
299.15,8,42
244.88,10,10
474.83,14,19
213.68,12,40
864.2,16,42
841.93,14,27
301.96,16,-1
669.28,12,17
403.61,12,42
403.61,12,25
476.54,12,15
536.56,16,26
1018.52,11,4
339.21,13,17
546.06,12,16
251.95,14,4
522.32,16,20
204.18,12,6
1419.75,10,35
208.5,10,4
1283.53,16,10
586.42,13,22
750.24,12,20
370.37,12,36
510.45,12,10
343.21,12,10
795.35,12,12
338.48,12,17
997.15,18,14
593.54,12,38
420.23,16,6
427.35,6,47
522.32,12,26
296.3,12,3
783.48,18,12
427.35,6,41
712.25,12,18
641.03,12,32
759.73,13,28
594.52,12,18
771.6,15,18
1851.85,17,14
1009.02,14,9
1210.83,18,13
752.54,14,29
246.91,16,20
835.71,18,26
1182.34,14,23
1028.02,18,12
688.51,18,5
688.51,16,14
358.02,12,1
368,13,16
197.53,11,1
379.87,12,8
432.1,17,7
403.61,15,4
189.93,12,28
332.38,12,2
474.83,12,22
275.81,11,2
522.32,14,10
356.13,12,47
546.06,12,24
444.06,12,41
569.8,8,36
555.56,12,26
308.64,12,11
474.83,16,18
237.42,12,7
302.59,12,4
262.3,12,2
430.03,8,40
441.26,12,43
261.16,9,43
237.42,12,11
1610.31,12,19
1047.01,16,14
949.67,17,17
1020.89,18,17
688.51,18,16
664.77,16,6
759.73,12,13
641.03,12,16
379.87,10,12
246.91,10,18
496.51,12,15
651.11,8,33
352.73,12,44
712.25,12,39
493.83,12,19
474.83,14,46
878.44,18,16
1025.64,16,29
356.13,14,4
197.53,10,8
641.03,13,27
284.9,12,15
493.83,12,6
807.22,12,41
1044.63,12,39
346.63,14,28
498.58,12,10
261.16,12,22
587.89,18,14
569.8,12,29
612.73,15,22
227.92,12,27
71.23,12,1
1685.66,18,14
949.67,17,17
166.19,11,22
593.54,14,18
783.48,16,20
902.18,12,16
427.35,12,14
783.48,12,25
308.64,13,-1
688.51,12,17
302.47,12,28
617.28,12,20
641.03,14,20
202.47,16,17
546.06,12,9
782.9,12,18
854.7,14,20
759.73,16,17
661.38,14,-1
332.38,15,3
735.49,5,37
664.77,10,7
688.51,12,36
637.71,12,38
410.73,14,18
249.29,14,25
209.88,12,26
504.27,13,24
269.44,9,29
759.73,8,43
338.32,12,24
807.22,12,37
332.38,12,20
712.25,16,11
846.98,18,15
707.5,13,28
653.59,16,36
391.74,12,14
395.06,14,2
378.09,12,0
379.87,12,12
256.41,12,20
318,12,27
522.32,12,17
284.9,12,6
254.63,16,3
458.21,16,6
142.45,12,11
664.77,15,20
997.15,16,17
474.83,16,1
432.1,12,19
593.54,16,9
402.68,8,47
474.36,12,14
356.13,12,8
186.45,8,9
581.67,17,24
338.9,14,14
541.31,15,23
546.06,12,19
189.93,12,16
712.25,16,14
451.09,12,3
379.87,16,18
284.9,12,8
626.78,18,11
1590.69,18,23
374.53,9,40
807.22,12,19
158.25,13,18
997.15,12,8
925.93,12,11
830.96,12,10
439.22,12,11
498.58,12,7
493.83,11,45
332.38,15,18
166.19,18,16
261.16,12,6
207.82,8,55
334.36,12,38
498.53,15,19
322.06,8,35
807.22,14,5
474.83,12,14
629.39,16,11
377.49,9,20
587.89,16,19
997.15,16,19
474.83,14,5
403.61,13,12
569.8,13,5
878.44,14,24
593.54,12,48
484.14,12,21
617.28,10,35
1187.08,16,19
878.44,12,35
593.54,12,7
712.25,13,32
617.28,8,44
320.51,16,8
427.35,10,10
546.06,16,12
422.08,10,43
475.64,8,44
213.68,16,8
246.91,16,4
185.19,12,5
409.54,16,19
303.03,18,33
493.83,12,16
593.54,10,12
118.71,16,1
682.57,18,20
1115.86,18,17
648.46,13,26
354.94,12,4
370.37,10,8
569.8,12,9
673.4,16,24
807.22,14,19
997.15,14,28
691.38,12,16
498.58,12,7
522.32,12,34
420.23,12,8
415.48,12,5
305.27,12,9
308.95,13,33
1471.89,12,1
720.16,12,21
439.22,12,9
735.99,12,10
805.15,12,29
1608.88,18,38
830.96,12,12
448.72,12,4
712.25,12,22
949.67,12,38
439.22,12,19
771.6,12,17
478.4,12,18
1185.19,12,24
1068.38,17,4
474.83,13,8
434.22,11,48
363.25,12,5
498.58,12,36
1305.79,12,13
451.09,12,10
593.54,16,10
555.56,9,33
629.88,14,15
479.77,12,38
854.7,17,25
546.06,14,15
338.32,13,9
925.93,16,9
356.13,12,10
1208.85,12,18
1139.6,14,29
498.58,10,7
546.06,14,3
1543.21,12,28
617.28,16,2
807.22,16,12
891.07,16,4
538.94,16,4
944.92,12,11
1187.08,7,33
854.7,8,24
493.83,11,24
783.48,14,16
624.41,16,7
1092.12,16,17
688.51,16,10
498.58,14,6
676.64,16,10
432.1,13,2
1507.6,17,20
233.99,12,1
1115.86,18,9
423.63,12,7
949.67,18,8
586.42,13,4
296.77,12,28
1305.79,12,19
642.21,12,11
1371.74,17,7
830.96,17,9
498.58,2,14
997.15,12,20
213.68,12,17
1305.79,16,6
498.58,14,7
569.8,17,8
474.83,16,12
712.25,16,11
949.67,17,9
415.48,12,27
664.77,17,8
1167.62,14,24
316.87,12,0
451.09,12,7
356.13,10,40
569.8,12,31
308.64,12,2
733.62,16,34
830.96,12,22
902.18,6,42
593.54,12,12
222.22,11,1
286.76,12,3
434.33,11,15
322.72,8,23
332.38,12,5
296.77,12,4
218.42,12,4
636.28,14,13
546.06,9,37
700.38,14,7
546.06,12,15
451.09,14,4
451.09,12,12
1241.69,16,22
321.5,15,1
807.22,12,4
692.81,16,13
474.83,18,9
379.87,10,40
617.28,12,39
498.58,12,41
712.25,8,44
569.8,8,40
821.46,16,8
522.32,12,3
522.32,12,8
522.32,12,5
508.07,14,14
830.96,12,49
712.25,13,6
1185.19,12,11
641.03,12,11
807.41,18,5
973.41,18,23
756.58,16,12
641.03,14,24
821.39,13,35
351.08,12,2
356.13,8,9
712.25,18,2
796.51,16,14
728.4,16,3
569.8,15,4
820.62,14,13
854.7,13,8
902.18,14,10
1020.89,16,18
688.51,16,36
593.54,12,10
472.44,11,20
457.67,12,25
878.44,12,15
452.49,11,14
546.06,13,27
310.28,10,27
569.8,12,7
807.22,16,3
830.96,16,10
807.22,14,29
92.59,12,25
546.06,14,9
830.96,12,7
759.73,14,29
617.28,14,-1
1471.98,16,37
